,RankTHE,Name,No. of FTE students,No. of students per staff,International Students,Female:Male Ratio,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
552,501-600,Northwestern Polytechnical University,"34,095",13.9,4%,28 : 72,39.3–42.0,30.2,37.7,54.8,69.5,40.1
553,501-600,Nottingham Trent University,"29,925",15.3,21%,57 : 43,39.3–42.0,19.4,15.0,79.6,37.5,82.2
554,501-600,Open University of Catalonia,"32,319",100.5,6%,57 : 43,39.3–42.0,20.0,18.9,81.2,37.7,48.1
555,501-600,University of Peradeniya,"16,123",10.7,1%,59 : 41,39.3–42.0,17.3,8.9,99.2,39.1,40.3
556,501-600,Universitat Ramon Llull,"14,900",22.2,19%,52 : 48,39.3–42.0,19.5,17.0,83.6,40.0,66.5
557,501-600,University of Saskatchewan,"17,741",17.6,22%,55 : 45,39.3–42.0,36.7,30.3,48.6,69.7,75.0
558,501-600,University of Sassari,"15,065",37.9,2%,62 : 38,39.3–42.0,32.1,27.6,62.4,38.4,37.9
559,501-600,Saveetha Institute of Medical and Technical Sciences,"12,394",7.4,1%,38 : 62,39.3–42.0,22.4,8.5,97.1,38.1,35.3
560,501-600,Sciences Po,"12,872",45.2,37%,61 : 39,39.3–42.0,28.8,25.1,57.9,39.1,82.1
561,501-600,Shiraz University of Technology,"1,437",13.8,0%,37 : 63,39.3–42.0,28.4,22.8,78.0,42.1,29.4
562,501-600,SOAS University of London,"4,655",12.8,53%,67 : 33,39.3–42.0,33.9,38.5,42.4,37.0,81.4
563,501-600,University of South Carolina-Columbia,"33,025",15.6,5%,55 : 45,39.3–42.0,35.0,24.0,65.5,37.6,45.9
564,501-600,Southwestern University of Finance and Economics,"23,330",16.4,2%,65 : 35,39.3–42.0,20.0,12.8,93.6,39.8,39.7
565,501-600,University of Stavanger,"11,089",11.4,11%,58 : 42,39.3–42.0,20.7,15.6,72.3,41.3,77.0
566,501-600,Stevens Institute of Technology,"6,624",18.6,35%,29 : 71,39.3–42.0,22.8,20.5,69.6,37.6,73.5
567,501-600,SUNY University at Albany,"16,090",17.2,8%,55 : 45,39.3–42.0,24.6,25.7,71.4,44.6,50.4
568,501-600,University of Tabuk,"29,471",14.4,2%,57 : 43,39.3–42.0,16.1,8.6,87.9,41.7,72.9
569,501-600,Technion Israel Institute of Technology,"15,147",21.0,12%,39 : 61,39.3–42.0,33.7,30.9,51.2,38.6,72.0
570,501-600,Tokyo Medical and Dental University (TMDU),"3,010",4.4,11%,50 : 50,39.3–42.0,45.1,29.7,44.0,74.5,31.7
571,501-600,University of Trieste,"16,677",24.9,7%,57 : 43,39.3–42.0,28.5,25.5,63.8,39.0,47.5
572,501-600,University of Tsukuba,"15,725",12.7,16%,38 : 62,39.3–42.0,43.9,37.8,38.5,43.7,43.0
573,501-600,TU Dortmund University,"25,046",74.8,10%,47 : 53,39.3–42.0,35.9,43.2,43.7,46.1,44.2
574,501-600,University of Tuscia,"6,272",20.0,4%,54 : 46,39.3–42.0,19.1,20.2,81.6,47.7,39.5
575,501-600,University of Udine,"12,326",18.5,5%,54 : 46,39.3–42.0,26.1,19.6,73.6,39.9,38.2
576,501-600,UiT The Arctic University of Norway,"14,377",10.1,10%,58 : 42,39.3–42.0,22.8,20.8,75.3,39.0,68.6
577,501-600,University of Valencia,"50,575",14.3,14%,58 : 42,39.3–42.0,23.0,23.8,71.3,39.0,49.9
578,501-600,University of Vic – Central University of Catalonia,"6,472",14.0,20%,60 : 40,39.3–42.0,16.1,12.0,91.6,37.9,59.7
579,501-600,Victoria University,"16,106",45.2,25%,55 : 45,39.3–42.0,25.5,26.9,63.6,44.5,79.1
580,501-600,Virginia Commonwealth University,"26,472",10.7,4%,63 : 37,39.3–42.0,28.9,12.3,86.2,42.5,30.7
581,501-600,Wayne State University,"22,941",11.9,5%,59 : 41,39.3–42.0,34.0,18.6,67.2,48.8,35.3
582,501-600,The University of the West Indies,"24,811",17.0,1%,71 : 29,39.3–42.0,17.6,10.8,90.3,38.9,58.1
583,501-600,Xi’an Jiaotong University,"44,942",14.1,6%,35 : 65,39.3–42.0,36.4,42.7,47.1,75.0,29.4
584,501-600,University of Zambia,"16,903",21.2,1%,35 : 65,39.3–42.0,15.7,9.2,96.8,38.4,49.9
585,501-600,Zayed University,"8,593",14.1,2%,88 : 12,39.3–42.0,17.7,16.0,79.1,37.6,74.5
586,501-600,Zhejiang Normal University,"26,928",11.7,7%,,39.3–42.0,16.7,15.5,87.5,65.4,30.5
587,601-800,Abdul Wali Khan University Mardan,"10,314",20.9,0%,32 : 68,34.0–39.2,15.0,12.0,88.0,36.9,46.4
588,601-800,Åbo Akademi University,"5,399",17.6,10%,,34.0–39.2,22.0,31.2,44.4,40.0,65.0
589,601-800,Addis Ababa University,"46,881",14.8,0%,29 : 71,34.0–39.2,19.6,12.4,79.5,41.9,46.6
590,601-800,Ahvaz Jundishapur University of Medical Sciences (AJUMS),"8,601",11.6,2%,60 : 40,34.0–39.2,33.5,10.0,65.5,37.5,18.2
591,601-800,Ajou University,"7,574",14.2,17%,42 : 58,34.0–39.2,31.1,37.5,41.7,74.3,44.4
592,601-800,Amedeo Avogadro University of Eastern Piedmont,"14,292",37.1,7%,61 : 39,34.0–39.2,13.9,22.2,64.5,37.5,41.6
593,601-800,American University,"12,495",11.6,11%,63 : 37,34.0–39.2,40.7,16.8,55.7,42.5,37.3
594,601-800,American University of Sharjah,"4,468",11.9,76%,53 : 47,34.0–39.2,20.9,21.3,45.6,38.9,93.5
595,601-800,Amirkabir University of Technology,"10,673",21.2,2%,35 : 65,34.0–39.2,30.1,31.9,54.9,64.9,31.7
596,601-800,University of Antofagasta,"8,083",20.4,2%,56 : 44,34.0–39.2,14.8,9.5,81.0,36.9,52.4
597,601-800,University of Arkansas,"25,207",19.4,4%,54 : 46,34.0–39.2,29.1,27.6,48.5,39.5,30.6
598,601-800,Auburn University,"27,512",18.2,10%,50 : 50,34.0–39.2,32.4,23.4,45.9,43.8,49.3
599,601-800,Azarbaijan Shahid Madani University,"7,350",26.2,0%,61 : 39,34.0–39.2,18.1,13.0,83.8,38.4,22.7
600,601-800,University of Babylon,"26,449",12.7,0%,54 : 46,34.0–39.2,18.0,7.8,85.0,37.0,21.6
601,601-800,Bahçeşehir University,"17,813",47.2,18%,49 : 51,34.0–39.2,19.3,20.9,62.3,51.9,49.5
602,601-800,Bahria University,"19,573",22.2,1%,44 : 56,34.0–39.2,13.6,9.1,79.7,37.4,43.7
603,601-800,Banaras Hindu University,"13,900",8.7,3%,38 : 62,34.0–39.2,38.8,16.9,66.0,37.0,20.1
604,601-800,University of Bari Aldo Moro,"29,905",21.6,2%,62 : 38,34.0–39.2,16.6,22.8,72.5,38.9,33.6
605,601-800,Bar-Ilan University,"17,255",17.3,4%,61 : 39,34.0–39.2,30.5,34.0,42.0,49.4,50.3
606,601-800,Baylor University,"19,700",17.7,7%,55 : 45,34.0–39.2,33.7,18.3,52.4,37.4,29.3
607,601-800,Beirut Arab University,"5,698",12.0,18%,45 : 55,34.0–39.2,33.6,16.4,56.1,37.0,83.9
608,601-800,Ben-Gurion University of the Negev,"16,468",20.4,2%,52 : 48,34.0–39.2,30.3,31.1,43.4,42.8,37.0
609,601-800,Benha University,"110,645",32.5,3%,42 : 58,34.0–39.2,16.5,8.6,77.0,37.8,45.1
610,601-800,Université Bourgogne Franche-Comté (UBFC),"67,049",37.3,11%,56 : 44,34.0–39.2,19.6,18.3,69.7,40.7,55.4
611,601-800,Ca’ Foscari University of Venice,"18,231",38.3,10%,64 : 36,34.0–39.2,34.4,32.3,34.3,44.6,60.8
612,601-800,University of Camerino (Unicam),"8,129",27.9,10%,46 : 54,34.0–39.2,20.9,15.8,61.4,44.7,49.3
613,601-800,University of Canterbury,"15,245",18.4,22%,51 : 49,34.0–39.2,25.2,27.5,45.3,39.7,92.0
614,601-800,Capital Medical University,"15,254",4.9,5%,62 : 38,34.0–39.2,30.4,18.3,65.8,37.3,22.8
615,601-800,Carleton University,"28,760",29.7,22%,49 : 51,34.0–39.2,21.5,30.5,50.4,43.0,72.2
616,601-800,University of Central Florida,"62,248",36.1,5%,56 : 44,34.0–39.2,26.1,29.5,60.1,46.0,34.4
617,601-800,Central Queensland University,"15,453",20.7,26%,58 : 42,34.0–39.2,19.4,19.6,66.5,40.3,61.7
618,601-800,Chongqing University,"40,696",19.9,3%,,34.0–39.2,27.8,33.2,52.8,85.2,24.8
619,601-800,Chung-Ang University,"18,101",22.7,22%,,34.0–39.2,37.3,38.3,29.2,78.6,56.1
620,601-800,Clark University,"3,273",11.6,25%,59 : 41,34.0–39.2,24.9,20.7,64.9,36.9,58.4
621,601-800,University of Coimbra,"21,429",18.0,19%,58 : 42,34.0–39.2,25.1,35.2,40.4,49.8,59.5
622,601-800,University of Colombo,"31,792",31.9,0%,58 : 42,34.0–39.2,28.9,9.6,74.5,37.0,37.0
623,601-800,COMSATS University Islamabad,"33,465",14.8,2%,42 : 58,34.0–39.2,17.1,14.7,78.2,37.0,46.8
624,601-800,Concordia University,"35,592",33.5,34%,50 : 50,34.0–39.2,22.6,27.4,46.4,39.2,85.6
625,601-800,University of Córdoba,"16,847",13.5,10%,56 : 44,34.0–39.2,22.7,21.2,56.0,39.4,47.5
626,601-800,University of Costa Rica,"31,545",13.4,2%,53 : 47,34.0–39.2,18.2,9.0,71.2,36.9,48.1
627,601-800,Covenant University,"8,362",15.5,1%,40 : 60,34.0–39.2,22.1,24.8,59.4,44.3,46.0
628,601-800,Cyprus University of Technology,"3,280",16.9,14%,56 : 44,34.0–39.2,23.7,16.7,53.9,38.9,78.6
629,601-800,Dalian University of Technology,"38,465",15.0,3%,,34.0–39.2,28.6,29.6,46.1,73.0,31.9
630,601-800,Delhi Technological University,"11,196",22.3,3%,22 : 78,34.0–39.2,17.8,17.0,80.1,42.5,17.3
631,601-800,De Montfort University,"24,490",20.2,38%,54 : 46,34.0–39.2,17.0,14.8,59.3,37.0,89.6
632,601-800,University of Derby,"15,525",14.6,18%,59 : 41,34.0–39.2,16.5,12.0,66.5,37.4,70.2
633,601-800,Universidad del Desarrollo,"15,933",15.9,3%,56 : 44,34.0–39.2,15.0,10.1,73.8,39.6,50.6
634,601-800,University of Dhaka,"211,424",16.1,3%,48 : 52,34.0–39.2,15.2,8.6,85.9,37.3,43.1
635,601-800,Dow University of Health Sciences,"7,249",6.8,3%,76 : 24,34.0–39.2,20.8,8.2,74.0,37.2,35.8
636,601-800,University of Eastern Finland,"11,898",18.2,5%,66 : 34,34.0–39.2,24.8,29.1,58.3,40.0,50.5
637,601-800,Universidade Eduardo Mondlane,"45,256",26.1,0%,39 : 61,34.0–39.2,12.1,8.4,89.4,36.9,48.7
638,601-800,"University of Engineering and Technology, Taxila","5,290",19.3,2%,18 : 82,34.0–39.2,15.1,12.5,88.9,37.2,42.7
639,601-800,ENSTA Bretagne,830,8.1,5%,24 : 76,34.0–39.2,26.3,23.3,48.7,64.7,49.5
640,601-800,Eötvös Loránd University,"30,190",17.5,9%,62 : 38,34.0–39.2,32.9,18.2,49.6,37.2,52.1
641,601-800,Fayoum University,"44,786",16.8,0%,62 : 38,34.0–39.2,15.3,10.4,79.7,40.2,42.4
642,601-800,Universidade Federal do Rio Grande do Sul,"39,169",14.1,1%,52 : 48,34.0–39.2,32.1,21.9,50.8,39.8,28.7
643,601-800,Universidade Federal de São Paulo (UNIFESP),"18,877",10.3,1%,59 : 41,34.0–39.2,29.6,21.4,55.4,37.3,30.5
644,601-800,Federation University Australia,"11,684",22.2,52%,55 : 45,34.0–39.2,18.6,15.8,70.5,41.1,81.2
645,601-800,University of Georgia,"37,465",13.2,7%,58 : 42,34.0–39.2,39.5,25.8,52.8,39.2,37.6
646,601-800,Glasgow Caledonian University,"14,270",23.6,19%,57 : 43,34.0–39.2,18.4,13.8,65.4,37.4,69.0
647,601-800,University of Granada,"54,619",14.5,10%,60 : 40,34.0–39.2,23.2,28.8,50.5,37.2,50.2
648,601-800,Graphic Era University,"7,823",14.3,1%,42 : 58,34.0–39.2,25.0,9.0,83.1,41.6,25.5
649,601-800,University of Graz,"12,531",12.4,17%,66 : 34,34.0–39.2,25.2,19.3,59.3,38.2,81.7
650,601-800,Graz University of Technology,"6,353",8.6,23%,25 : 75,34.0–39.2,32.0,20.3,42.5,63.1,83.6
651,601-800,Guangzhou University,"36,701",19.4,0%,64 : 36,34.0–39.2,16.1,14.3,76.9,41.5,28.9
652,601-800,Guangzhou Medical University,"12,891",1.7,2%,56 : 44,34.0–39.2,22.2,8.3,87.6,38.2,24.2
653,601-800,Hacettepe University,"38,444",20.1,3%,56 : 44,34.0–39.2,29.0,26.1,51.9,89.1,25.7
654,601-800,University of Haifa,"17,353",17.7,3%,66 : 34,34.0–39.2,21.5,29.1,66.4,38.1,36.1
655,601-800,Hamburg University of Technology,"4,668",28.9,23%,28 : 72,34.0–39.2,36.1,23.9,42.5,88.1,56.9
656,601-800,Hazara University Mansehra,"12,145",26.5,0%,26 : 74,34.0–39.2,17.4,10.1,82.0,37.0,44.3
657,601-800,University of Hertfordshire,"18,780",15.5,38%,54 : 46,34.0–39.2,17.7,13.2,58.1,37.3,86.1
658,601-800,University of Houston,"46,958",27.0,7%,52 : 48,34.0–39.2,34.9,28.0,48.8,42.5,43.2
659,601-800,University of Huddersfield,"14,410",19.9,26%,58 : 42,34.0–39.2,23.2,23.7,49.8,39.7,82.8
660,601-800,Icesi University,"6,279",8.0,2%,53 : 47,34.0–39.2,19.1,9.1,86.0,37.4,37.3
661,601-800,Ilam University of Medical Sciences,"2,687",13.0,4%,53 : 47,34.0–39.2,26.1,10.7,85.1,38.5,20.8
662,601-800,Imam Abdulrahman Bin Faisal University,"22,059",8.7,4%,90 : 10,34.0–39.2,22.1,9.9,64.0,37.5,72.9
663,601-800,Indian Institute of Technology Indore,"2,001",11.7,0%,22 : 78,34.0–39.2,32.8,23.7,61.8,39.1,24.9
664,601-800,Indraprastha Institute of Information Technology Delhi,"2,399",23.1,2%,23 : 77,34.0–39.2,21.5,17.5,69.6,78.9,33.8
665,601-800,"International Islamic University, Islamabad","25,221",25.1,7%,53 : 47,34.0–39.2,17.2,10.8,80.7,36.9,52.2
666,601-800,Iran University of Medical Sciences,"8,840",8.3,5%,57 : 43,34.0–39.2,46.0,14.9,56.1,41.7,27.1
667,601-800,Istanbul Technical University,"18,562",24.2,15%,37 : 63,34.0–39.2,31.9,35.5,29.1,100.0,42.6
668,601-800,Jagiellonian University,"34,725",9.6,11%,67 : 33,34.0–39.2,31.3,25.3,56.7,37.6,40.9
669,601-800,Jamia Hamdard University,"9,636",20.0,3%,45 : 55,34.0–39.2,18.9,12.6,73.3,40.5,31.3
670,601-800,Jawaharlal Nehru University,"8,840",14.2,2%,46 : 54,34.0–39.2,44.1,23.5,38.3,37.9,19.5
671,601-800,Jiangsu University,"35,687",9.5,6%,42 : 58,34.0–39.2,21.0,12.5,66.5,58.8,44.4
672,601-800,Jinan University,"41,858",16.6,27%,56 : 44,34.0–39.2,21.6,20.2,57.1,45.0,52.9
673,601-800,University of Johannesburg,"29,167",25.1,15%,55 : 45,34.0–39.2,24.7,33.4,35.8,45.5,74.9
674,601-800,Jönköping University,"6,762",13.0,14%,60 : 40,34.0–39.2,18.6,18.3,58.9,38.1,65.5
675,601-800,The University of Jordan,"30,380",13.4,13%,66 : 34,34.0–39.2,24.8,12.4,60.9,40.8,59.9
676,601-800,Jouf University,"19,826",9.8,3%,60 : 40,34.0–39.2,27.3,17.7,47.7,38.4,75.0
677,601-800,University of Kaiserslautern,"8,572",28.8,22%,35 : 65,34.0–39.2,37.5,26.7,32.2,62.5,54.9
678,601-800,Kalasalingam Academy of Research and Education,"7,365",8.8,3%,55 : 45,34.0–39.2,22.3,9.3,82.3,39.3,23.3
679,601-800,Kansai Medical University,"1,086",1.3,2%,52 : 48,34.0–39.2,27.6,8.5,82.6,38.1,18.2
680,601-800,University of Kashan,"8,190",27.2,3%,54 : 46,34.0–39.2,21.4,19.2,76.3,38.4,22.8
681,601-800,Universiti Kebangsaan Malaysia,"16,873",10.1,14%,58 : 42,34.0–39.2,37.6,23.9,47.1,40.1,65.7
682,601-800,KIIT University,"24,796",12.3,9%,49 : 51,34.0–39.2,30.3,13.6,67.5,69.5,28.0
683,601-800,King Saud bin Abdulaziz University for Health Sciences,"7,870",11.3,1%,50 : 50,34.0–39.2,34.8,13.9,50.1,42.9,62.9
684,601-800,Konkuk University,"13,375",26.2,14%,49 : 51,34.0–39.2,30.6,37.8,30.5,45.8,42.1
685,601-800,Kore University of Enna,"5,053",14.5,1%,68 : 32,34.0–39.2,16.7,12.1,86.3,37.9,37.7
686,601-800,University of Kurdistan,"12,924",34.6,5%,53 : 47,34.0–39.2,14.7,14.4,74.2,41.8,30.9
687,601-800,Lahore University of Management Sciences,"4,499",13.8,1%,42 : 58,34.0–39.2,21.5,15.7,64.5,38.8,47.2
688,601-800,Lehigh University,"6,459",11.1,18%,46 : 54,34.0–39.2,28.3,21.4,52.3,39.3,65.2
689,601-800,University of Limerick,"14,733",25.1,20%,50 : 50,34.0–39.2,24.2,30.3,50.8,40.7,83.0
690,601-800,London South Bank University,"13,050",16.8,35%,56 : 44,34.0–39.2,18.0,12.1,63.5,37.5,87.7
691,601-800,University of Lorraine,"61,210",20.2,17%,53 : 47,34.0–39.2,23.2,17.8,54.6,39.7,64.7
692,601-800,Louisiana State University,"29,191",18.2,5%,54 : 46,34.0–39.2,34.8,21.4,47.0,38.2,39.9
693,601-800,Lviv Polytechnic National University,"21,367",10.5,1%,42 : 58,34.0–39.2,19.4,10.7,53.7,38.0,25.3
694,601-800,Maharishi Markandeshwar University (MMU),"9,053",13.3,10%,43 : 57,34.0–39.2,19.9,8.2,76.8,37.3,26.6
695,601-800,Majmaah University,"20,844",14.2,2%,46 : 54,34.0–39.2,16.0,8.5,71.4,37.0,72.6
696,601-800,University of Malakand,"7,757",27.1,1%,29 : 71,34.0–39.2,17.0,11.4,79.3,37.5,44.8
697,601-800,Manchester Metropolitan University,"29,195",15.9,19%,58 : 42,34.0–39.2,19.1,17.4,69.1,37.4,73.8
698,601-800,Mansoura University,"161,977",47.5,3%,52 : 48,34.0–39.2,20.7,11.5,80.6,43.7,48.9
699,601-800,Marche Polytechnic University,"10,544",22.4,5%,46 : 54,34.0–39.2,20.4,22.3,73.1,45.4,33.9
700,601-800,"University of Maryland, Baltimore County","11,456",16.8,8%,46 : 54,34.0–39.2,23.0,22.2,58.4,37.9,37.7
701,601-800,Mashhad University of Medical Sciences,"9,148",9.7,4%,58 : 42,34.0–39.2,29.3,13.5,60.9,37.0,26.2
702,601-800,Massey University,"17,534",16.1,29%,64 : 36,34.0–39.2,24.3,25.8,39.7,43.8,92.9
703,601-800,Medical University of Lodz,"10,294",8.6,10%,70 : 30,34.0–39.2,20.7,9.7,80.1,37.1,30.4
704,601-800,Memorial University of Newfoundland,"16,098",14.9,21%,56 : 44,34.0–39.2,23.3,22.7,47.6,72.1,81.2
705,601-800,Minia University,"75,566",17.9,1%,54 : 46,34.0–39.2,15.9,8.5,74.9,37.1,46.2
706,601-800,Mizzou - University of Missouri,"25,113",11.8,4%,55 : 45,34.0–39.2,34.8,25.3,52.1,40.2,44.7
707,601-800,University of Mohaghegh Ardabili,"11,435",28.7,0%,56 : 44,34.0–39.2,20.9,11.1,75.1,37.2,27.5
708,601-800,University of Nairobi,"52,678",34.5,2%,24 : 76,34.0–39.2,13.2,8.8,86.9,36.9,47.3
709,601-800,University of Namibia,"29,369",21.8,3%,64 : 36,34.0–39.2,13.3,8.0,90.3,36.9,64.2
710,601-800,Nanjing Agricultural University,"28,184",17.0,2%,,34.0–39.2,20.5,24.1,59.5,47.5,24.9
711,601-800,Nantes Université,"36,281",24.0,11%,55 : 45,34.0–39.2,27.3,24.4,62.0,42.0,51.9
712,601-800,National Cheng Kung University (NCKU),"20,080",15.1,12%,37 : 63,34.0–39.2,31.9,39.9,25.2,100.0,38.7
713,601-800,National Institute of Technology Silchar,"3,900",13.9,3%,21 : 79,34.0–39.2,28.4,16.0,61.3,38.0,17.7
714,601-800,National Yunlin University of Science and Technology,"9,135",21.8,6%,43 : 57,34.0–39.2,19.6,27.1,57.1,93.3,34.3
715,601-800,Near East University,"20,103",24.5,83%,43 : 57,34.0–39.2,20.7,17.4,57.6,78.5,95.7
716,601-800,"University of Nevada, Las Vegas","26,730",23.2,4%,57 : 43,34.0–39.2,31.8,24.6,50.7,37.3,31.0
717,601-800,University of New Brunswick UNB,"8,661",14.7,15%,51 : 49,34.0–39.2,20.5,21.3,52.4,38.4,74.8
718,601-800,New Jersey Institute of Technology,"9,757",14.6,24%,27 : 73,34.0–39.2,20.5,20.6,60.6,40.1,85.2
719,601-800,University of North Carolina at Charlotte,"27,579",20.5,5%,49 : 51,34.0–39.2,20.2,19.3,71.7,39.4,31.6
720,601-800,North South University,"24,760",30.9,0%,42 : 58,34.0–39.2,12.7,9.3,87.8,36.9,34.8
721,601-800,North-West University,"40,095",24.3,3%,61 : 39,34.0–39.2,20.4,18.5,67.3,40.4,50.8
722,601-800,Norwegian University of Life Sciences,"6,786",7.6,12%,57 : 43,34.0–39.2,25.0,13.3,61.8,41.0,72.3
723,601-800,NOVA University of Lisbon,"20,996",17.8,23%,51 : 49,34.0–39.2,23.7,31.1,42.4,54.5,64.2
724,601-800,"University of Occupational and Environmental Health, Japan","1,157",2.5,2%,52 : 48,34.0–39.2,27.1,10.8,78.6,42.1,20.3
725,601-800,Oklahoma State University,"21,250",14.0,6%,51 : 49,34.0–39.2,29.7,20.5,53.8,39.6,45.7
726,601-800,Ontario Tech University,"8,969",28.6,8%,44 : 56,34.0–39.2,19.5,24.3,53.0,40.6,60.9
727,601-800,The Open University,"68,390",31.6,8%,65 : 35,34.0–39.2,19.2,16.9,60.5,37.1,57.3
728,601-800,Oxford Brookes University,"13,575",14.2,25%,59 : 41,34.0–39.2,24.6,22.7,52.8,37.2,83.6
729,601-800,University of Parma,"28,210",32.1,6%,58 : 42,34.0–39.2,18.3,22.1,65.1,41.9,37.1
730,601-800,Universidad Peruana Cayetano Heredia,"6,028",6.7,0%,67 : 33,34.0–39.2,20.7,12.0,80.9,41.9,47.2
731,601-800,University of Perugia,"24,943",25.1,6%,58 : 42,34.0–39.2,21.6,19.3,73.5,41.9,46.0
732,601-800,Polytechnic University of Turin,"29,428",30.4,14%,30 : 70,34.0–39.2,23.9,26.7,58.4,55.7,48.7
733,601-800,Prince Sattam Bin Abdulaziz University,"27,117",12.2,2%,58 : 42,34.0–39.2,17.7,9.9,80.4,37.8,73.6
734,601-800,Universiti Putra Malaysia,"18,365",11.1,26%,59 : 41,34.0–39.2,38.5,28.2,28.8,74.3,79.4
735,601-800,Qingdao University,"42,667",15.2,2%,64 : 36,34.0–39.2,16.4,14.7,75.9,40.9,22.1
736,601-800,Université du Québec,"50,418",17.9,12%,57 : 43,34.0–39.2,26.9,29.1,35.6,43.8,72.0
737,601-800,University of Regina,"14,172",24.7,27%,59 : 41,34.0–39.2,17.6,18.0,64.4,39.0,68.3
738,601-800,Rensselaer Polytechnic Institute,"7,475",14.7,21%,32 : 68,34.0–39.2,28.9,26.1,51.0,59.1,72.6
739,601-800,Riga Stradiņš University,"8,512",19.5,28%,74 : 26,34.0–39.2,16.2,11.2,75.5,38.2,73.1
740,601-800,Riphah International University,"23,590",21.5,0%,50 : 50,34.0–39.2,13.6,9.0,82.8,37.0,44.5
741,601-800,Rovira i Virgili University,"12,975",12.6,13%,60 : 40,34.0–39.2,21.9,22.3,61.5,40.5,55.2
742,601-800,San Diego State University,"31,340",27.5,7%,56 : 44,34.0–39.2,24.5,11.1,69.4,37.6,33.5
743,601-800,University of Sannio,"2,944",15.4,2%,51 : 49,34.0–39.2,18.0,18.5,70.8,55.5,28.6
744,601-800,University of Santiago de Compostela,"24,713",14.5,9%,62 : 38,34.0–39.2,24.2,19.8,55.7,40.7,45.6
745,601-800,Savitribai Phule Pune University,"5,163",12.1,6%,43 : 57,34.0–39.2,40.6,23.5,46.0,38.7,22.0
746,601-800,University of Campania Luigi Vanvitelli,"33,663",35.1,2%,37 : 63,34.0–39.2,23.3,8.6,78.0,37.8,28.9
747,601-800,Shanghai University,"37,499",13.1,7%,50 : 50,34.0–39.2,24.7,33.1,41.4,75.3,35.3
748,601-800,"Soochow University, China","47,989",15.5,5%,54 : 46,34.0–39.2,23.0,21.4,64.5,59.9,25.9
749,601-800,Southern Cross University,"10,866",36.1,28%,64 : 36,34.0–39.2,18.7,24.9,55.9,47.4,80.7
750,601-800,University of Strasbourg,"51,028",19.8,21%,59 : 41,34.0–39.2,24.7,23.1,59.6,44.2,73.3
751,601-800,Sultan Qaboos University,"7,436",8.6,4%,50 : 50,34.0–39.2,23.1,18.4,56.9,40.6,74.9
752,601-800,University of the Sunshine Coast,"11,118",29.6,16%,69 : 31,34.0–39.2,19.5,26.5,48.0,42.9,70.5
753,601-800,SUNY Binghamton University,"18,852",22.0,11%,50 : 50,34.0–39.2,25.3,20.4,56.8,40.0,37.0
754,601-800,University of Tabriz,"20,983",27.2,6%,49 : 51,34.0–39.2,23.4,21.4,68.9,41.0,36.7
755,601-800,Tabriz University of Medical Sciences,"8,524",9.9,2%,54 : 46,34.0–39.2,42.4,13.9,58.4,37.1,25.7
756,601-800,Taif University,"39,622",19.6,2%,56 : 44,34.0–39.2,16.9,12.4,75.3,38.8,72.0
757,601-800,Tallinn University of Technology,"8,739",12.6,17%,40 : 60,34.0–39.2,20.2,20.8,55.1,52.4,77.6
758,601-800,University of Tehran,"45,295",21.5,2%,45 : 55,34.0–39.2,32.9,31.7,51.9,36.9,29.0
759,601-800,Tehran University of Medical Sciences,"11,605",6.4,11%,57 : 43,34.0–39.2,46.4,17.4,44.8,40.6,31.7
760,601-800,Universiti Teknologi Malaysia,"19,974",13.5,20%,47 : 53,34.0–39.2,33.0,28.9,41.7,46.2,64.2
761,601-800,University of Texas at Arlington,"33,537",29.5,13%,60 : 40,34.0–39.2,23.9,19.2,56.8,40.2,45.6
762,601-800,The University of Texas at San Antonio,"27,187",24.7,3%,51 : 49,34.0–39.2,21.2,21.5,69.0,39.0,38.0
763,601-800,Thapar Institute of Engineering and Technology,"9,375",16.9,1%,28 : 72,34.0–39.2,21.3,12.0,88.4,37.3,23.4
764,601-800,University of Toledo,"17,871",16.1,10%,52 : 48,34.0–39.2,34.8,15.1,49.9,41.9,48.6
765,601-800,University of Ulsan,"12,415",11.0,4%,48 : 52,34.0–39.2,21.8,24.4,66.2,65.1,23.7
766,601-800,Ulster University,"17,685",18.8,9%,57 : 43,34.0–39.2,19.9,22.3,50.5,39.0,77.6
767,601-800,Umm Al-Qura University,"30,207",8.3,11%,34 : 66,34.0–39.2,30.2,13.3,51.7,59.9,82.2
768,601-800,Paris Lodron Universität Salzburg,"7,169",11.9,34%,66 : 34,34.0–39.2,26.5,22.8,48.8,41.3,95.2
769,601-800,Wenzhou University,"21,827",18.2,3%,58 : 42,34.0–39.2,14.9,11.2,86.3,40.6,27.8
770,601-800,University of the Western Cape,"23,510",33.8,6%,61 : 39,34.0–39.2,20.4,23.7,61.6,36.9,55.8
771,601-800,University of the West of Scotland,"12,120",22.0,20%,63 : 37,34.0–39.2,24.1,15.5,61.5,37.9,76.8
772,601-800,University of Windsor,"14,516",33.3,29%,,34.0–39.2,35.1,29.4,34.5,44.2,88.7
773,601-800,University of Wolverhampton,"14,900",17.2,24%,62 : 38,34.0–39.2,18.2,14.3,68.8,37.3,72.0
774,601-800,University of Wuppertal,"15,668",39.6,10%,53 : 47,34.0–39.2,26.4,26.7,52.8,52.1,47.6
